DB00087	D004067	DB00877
DB09073	D018213	DB12205
DB09331	D006402	DB11942
DB00526	D004066	DB14922
DB04572	D007938	DB00631
DB00741	D009370	DB01042
DB00482	D007154	DB00945
DB12489	D009370	DB09037
DB00819	D005910	DB00853
DB01234	D020250	DB01189
DB00958	D000077274	DB00515
DB00515	D000077195	DB11717
DB05109	D009370	DB11581
DB00316	D010149	DB01234
DB01042	D006474	DB00635
DB11581	D016393	DB09035
DB04572	D000080983	DB00087
DB00465	D020920	DB00295
DB01229	D009369	DB08877
DB01005	D002294	DB01234
DB09037	D005910	DB02546
DB00099	D006402	DB00635
DB00741	D010265	DB00688
DB01112	D007249	DB00479
DB00843	D060825	DB16370
DB01045	D009164	DB00207
DB11754	D009369	DB00928
DB01073	D009369	DB00531
DB11581	D007938	DB14989
DB00003	D011024	DB14761
DB05812	D014565	DB15110
DB01234	D009371	DB00526
DB09110	D006474	DB01042
DB00563	D006086	DB00098
DB01175	D019964	DB01104
DB04572	D010335	DB01073
DB01234	D014652	DB15435
DB00531	D015614	DB01073
DB00563	D007160	DB05889
DB00005	D007154	DB00563
DB00081	D008223	DB00997
DB00531	D007154	DB00993
DB01042	D001791	DB01073
DB00877	D004701	DB01101
DB06273	D004067	DB00112
DB01181	D012516	DB00515
DB01142	D001259	DB00425
DB00515	D010051	DB09037
DB08910	D009370	DB16370
DB15227	D007945	DB09054
DB00531	D007938	DB00959
DB01024	D010391	DB00563
DB00482	D020069	DB00497
DB00635	D016403	DB00773
DB00526	D004067	DB00947
DB01101	D001254	DB00112
DB00073	D007239	DB05220
DB01075	D008171	DB00316
DB00531	D008258	DB01073
DB09035	D001526	DB06772
DB11754	D006402	DB00928
DB00650	D002277	DB15118
DB09033	D004066	DB09312
DB01030	D018302	DB06589
DB15232	D004066	DB01101
DB01073	D009369	DB01181
DB00619	D004067	DB01590
DB00619	D009369	DB06616
DB08935	D007154	DB12483
DB00601	D010335	DB14879
DB01229	D009369	DB01254
DB04572	D009371	DB09110
DB14989	D010335	DB11850
DB02546	D009385	DB00688
DB00441	D014515	DB00515
DB06186	D018326	DB06626
DB08881	D012140	DB11595
DB00073	D009370	DB01204
DB01167	D009369	DB12483
DB00773	D016399	DB11952
DB00041	D001941	DB01073
DB08881	D009101	DB00002
DB00642	D014591	DB00361
DB00711	D005368	DB06602
DB00959	D003711	DB00099
DB01206	D009423	DB00853
DB15471	D007410	DB00515
DB00099	D008232	DB00262
DB00773	D008232	DB00019
DB16409	D018307	DB11595
DB01248	D000291	DB01229
DB05154	D012140	DB08903
DB16186	D013899	DB11793
DB01005	D013789	DB00099
DB11581	D007938	DB14829
DB04868	D009371	DB01229
DB00201	D005759	DB00514
DB00773	D006689	DB00087
DB00635	D007160	DB08935
DB00480	D010335	DB00635
DB01238	D019964	DB01175
DB01248	D006058	DB01229
DB00563	D003424	DB00051
DB00177	D006331	DB00584
DB01128	D012871	DB06186
DB15559	D001943	DB00361
DB09035	D007154	DB01234
DB00313	D051437	DB01221
DB00112	D009375	DB09079
DB00563	D015212	DB00051
DB01101	D005767	DB14922
DB11850	D009369	DB11703
DB14845	D001327	DB00175
DB00675	D012192	DB02546
DB06603	D001932	DB11762
DB00959	D007160	DB00262
DB00762	D009369	DB01030
DB00526	D012002	DB09037
DB00987	D007938	DB01254
DB00860	D007154	DB00059
DB00422	D065886	DB00704
DB00074	D000690	DB00959
DB01076	D008659	DB11936
DB00959	D009468	DB00864
DB00959	D006086	DB01042
DB00688	D001855	DB00631
DB01006	D010335	DB01590
DB09128	D060825	DB00246
DB00087	D018242	DB01073
DB09035	D018213	DB00928
DB09110	D010265	DB01042
DB01008	D000013	DB00531
DB01101	D009370	DB00958
DB12617	D007592	DB11767
DB08934	D008107	DB09027
DB14892	D010335	DB16322
DB09037	D007414	DB09078
DB06595	D009370	DB01008
DB01236	D001157	DB01221
DB11581	D008232	DB00773
DB01248	D014565	DB00441
DB08937	D018358	DB00853
DB01234	D009371	DB00322
DB00958	D009369	DB09110
DB00531	D020141	DB00262
DB15206	D006526	DB11713
DB01248	D012871	DB00099
DB01590	D001932	DB06603
DB06317	D009369	DB11754
DB00091	D000013	DB00688
DB12483	D008228	DB11581
DB11918	D009369	DB11771
DB09035	D018297	DB01073
DB01400	D014570	DB00986
DB00073	D007154	DB00262
DB11714	D009370	DB00480
DB09110	D011289	DB04572
DB04572	D015470	DB00631
DB11945	D000230	DB05136
DB01229	D013899	DB00112
DB00541	D008223	DB00959
DB09037	D002583	DB00112
DB00091	D015451	DB00531
DB00441	D010335	DB00958
DB00619	D008206	DB00541
DB00073	D009370	DB01042
DB01229	D012897	DB00958
DB00544	D018307	DB09539
DB00997	D014652	DB00188
DB00073	D052439	DB00635
DB00635	D009468	DB00959
DB00297	D011183	DB01234
DB14311	D009140	DB09061
DB01229	D018307	DB01005
DB00541	D009373	DB09499
DB00958	D009371	DB16216
DB00958	D007960	DB15442
DB00098	D006453	DB01042
DB00526	D008171	DB00531
DB00515	D008223	DB01234
DB01181	D009380	DB01030
DB09035	D011469	DB05812
DB00601	D009422	DB01045
DB00515	D009370	DB01206
DB01073	D008175	DB09035
DB01362	D006946	DB00345
